Q_index,category,jsd,1-jsd,cosine
Q187,ethical,0.4179749029368153,0.5820250970631847,0.7983454204665408
Q188,ethical,0.5892342250594793,0.4107657749405207,0.5087643037840004
Q189,ethical,0.27747446039865525,0.7225255396013448,0.909536365830913
Q190,ethical,0.35983324412378564,0.6401667558762143,0.8509746264983077
Q191,ethical,0.3550486340950177,0.6449513659049824,0.8275504806657187
Q192,ethical,0.37440484944876123,0.6255951505512387,0.8098226184435637
Q193,ethical,0.4127343137728323,0.5872656862271677,0.7861792863452306
Q194,ethical,0.40164914249716077,0.5983508575028392,0.7934902728004267
Q195,ethical,0.44498830707722664,0.5550116929227733,0.5791936449853253
Q196,ethical,0.24301576530147312,0.7569842346985269,0.706489848344705
Q197,ethical,0.38859834629249673,0.6114016537075033,0.6972951832477902
Q198,ethical,0.3342762018560347,0.6657237981439653,0.7815011886169817
Q235,political_culture,0.8233380177043735,0.17666198229562646,0.10815826721748513
Q236,political_culture,0.5485947194121171,0.4514052805878829,0.2728194810238918
Q237,political_culture,0.35368811162156677,0.6463118883784332,0.7374394241472245
Q238,political_culture,0.6300719749197986,0.3699280250802014,0.3056821891538713
Q239,political_culture,0.40605987419796213,0.5939401258020378,0.6554986767012798
Q240,political_culture,0.9700324594021191,0.02996754059788087,0.007870885585440995
Q241,political_culture,0.5129558641419353,0.4870441358580647,0.5073707806456687
Q242,political_culture,0.695277698833352,0.304722301166648,0.3752870429506157
Q243,political_culture,0.6475790753643252,0.35242092463567476,0.41012803812716403
Q244,political_culture,0.20388528563634198,0.796114714363658,0.8720384893189275
Q245,political_culture,0.4985498723711948,0.5014501276288053,0.6095049927358744
Q246,political_culture,0.7951946075231948,0.20480539247680518,0.18972098083805516
Q247,political_culture,0.5208814176255961,0.47911858237440386,0.35075561266359495
Q248,political_culture,0.3455758127520425,0.6544241872479575,0.541316494029026
Q249,political_culture,0.7267222806542436,0.2732777193457564,0.28155765757029655
Q250,political_culture,0.676139547413164,0.32386045258683605,0.3445859956068655
Q251,political_culture,0.4997323558697636,0.5002676441302364,0.456700092765641
Q252,political_culture,0.7898688290423507,0.21013117095764933,0.11971066946053448
Q253,political_culture,0.10241648820201739,0.8975835117979826,0.9840986477235844
Q254,political_culture,0.7589718517893314,0.24102814821066865,0.1340966896700727
Q255,political_culture,0.4045862064651746,0.5954137935348254,0.5855247451318238
Q256,political_culture,0.42629952542632793,0.573700474573672,0.5640037174370185
Q257,political_culture,0.4324240906223122,0.5675759093776878,0.554358588315536
Q258,political_culture,0.8830298077605724,0.11697019223942762,0.060599272036756954
Q259,political_culture,0.9220343603657475,0.07796563963425251,0.03511306505405459
