Q_index,category,jsd,1-jsd,cosine
Q191,ethical,0.3550486340950177,0.6449513659049824,0.8275504806657187
Q192,ethical,0.37440484944876123,0.6255951505512387,0.8098226184435637
Q193,ethical,0.7196626895926462,0.28033731040735377,0.19756253421333994
Q194,ethical,0.5167026246726113,0.4832973753273887,0.31034799930800205
Q195,ethical,0.664528724587405,0.335471275412595,0.4578488777430165
Q196,ethical,0.3584625766213393,0.6415374233786607,0.764609184552595
Q197,ethical,0.38859834629249673,0.6114016537075033,0.6972951832477902
Q198,ethical,0.3342762018560347,0.6657237981439653,0.7815011886169817
Q235,political_culture,0.5702978209999433,0.4297021790000567,0.2536027047681181
Q236,political_culture,0.7617633006043031,0.23823669939569692,0.16445618428970338
Q237,political_culture,0.35368811162156677,0.6463118883784332,0.7374394241472245
Q238,political_culture,0.6300719749197986,0.3699280250802014,0.3056821891538713
Q239,political_culture,0.40605987419796213,0.5939401258020378,0.6554986767012798
Q240,political_culture,0.43513488621046514,0.5648651137895349,0.6494354609418888
Q241,political_culture,0.7603654326716246,0.2396345673283754,0.22021626426996918
Q242,political_culture,0.695277698833352,0.304722301166648,0.3752870429506157
Q243,political_culture,0.6475790753643252,0.35242092463567476,0.41012803812716403
Q244,political_culture,0.6588360009320515,0.3411639990679485,0.31125602969189115
Q245,political_culture,0.5926112153649744,0.4073887846350256,0.5736957033473923
Q246,political_culture,0.7951946075231948,0.20480539247680518,0.18972098083805516
Q247,political_culture,0.9690605947946791,0.030939405205320902,0.018108651911468814
Q248,political_culture,0.7731053122375192,0.22689468776248078,0.2530953481166582
Q249,political_culture,0.7267222806542436,0.2732777193457564,0.28155765757029655
Q250,political_culture,0.676139547413164,0.32386045258683605,0.3445859956068655
Q251,political_culture,0.7951946075231946,0.2048053924768054,0.15747509959172964
Q252,political_culture,0.9153881334474848,0.08461186655251518,0.030532073034680494
Q253,political_culture,0.534020420943215,0.465979579056785,0.23663517372246318
Q254,political_culture,0.7589718517893314,0.24102814821066865,0.1340966896700727
Q255,political_culture,0.2696532106633621,0.7303467893366379,0.6413760440118158
Q256,political_culture,0.053913962252109544,0.9460860377478905,0.9895601139761538
Q257,political_culture,0.06954640153911101,0.930453598460889,0.9598990191404736
Q258,political_culture,0.5035216356193485,0.4964783643806515,0.3944331296080247
Q259,political_culture,0.6567980877336259,0.3432019122663741,0.1834348731924103
